filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Autumn Leaves.m4a,14542848,0.280566931,0.093533933,0.135407314,0.004389541,2470.41225,915227.7381,2764.827872,347693.5044,5787.924109,4606666.414,0.096187848,0.006111527,-3.9e-07,0.01734253,-1.55e-05,0.00188124,112.3471467,-178.271286,5316.777344,76.93609619,1455.596802,46.02441025,766.6654053,31.85724258,470.9447937,7.120412827,130.5240173,13.04258537,95.09901428,-9.526000977,105.3101578,7.330825806,107.5595856,-13.48236847,75.58731079,5.072021484,81.65270996,-7.85865736,77.03426361,4.592615128,110.6645126,-2.392780304,159.4120941,7.62306881,104.5922928,-9.054673195,111.0231857,3.555069447,106.1075134,-5.732812881,115.6095734,3.145483255,92.86962128,-8.182543755,97.23787689,0.870872498,126.2591324
"AVE MARIA SCHUBERT (Arr. for SATB Choir, String Quartet and Harp).m4a",4999680,0.280961215,0.085529238,0.173403859,0.002606398,978.7778091,38340.01783,1025.600623,53238.44991,1809.214611,305934.3653,0.059051382,0.000440862,-0.013311517,0.027879396,-0.000803416,0.000739009,161.4990234,-173.1039276,4596.858398,184.049118,756.140686,-39.17726898,617.4316406,32.37155533,265.6358643,-8.85080719,138.4177704,-14.41465092,83.21162415,-3.246522903,102.5215378,-15.51452923,63.38388443,-13.05160236,56.10990143,-14.54279041,57.91747665,-6.449361801,87.50708008,-3.92031312,92.79821014,-3.971357107,91.58924866,0.401712507,80.0397644,0.866097748,83.15657043,-4.037644863,92.2516098,-3.768775702,76.25416565,-3.488297224,87.31206512,-8.147382736,75.484375,-3.280035257,62.13579559
Baby O'riley.m4a,7177728,0.341203183,0.091689885,0.08945635,0.002453427,2185.141864,1041769.067,2113.302381,528442.9244,4394.150365,4088727.108,0.110900513,0.005381031,4.06e-07,0.007147582,-1.49e-06,0.001282286,117.4538352,-170.8079834,15346.10645,82.80857086,1528.771851,-13.15073109,487.6900635,35.26831436,340.1643372,3.583263397,143.3466187,7.109825134,124.8794785,-8.982578278,90.46392059,9.610737801,139.1668091,-2.10611248,63.56653976,7.331122398,74.87551117,-6.379837513,51.58869171,1.420332789,76.21269989,-8.871750832,74.03560638,0.240947425,62.83101273,-8.936871529,51.61170578,-2.657534361,78.17043304,-7.775678635,56.72900772,1.566440344,52.60935593,-6.636359692,76.71017456,1.72781682,70.87975311
Baby One More Time.m4a,4639232,0.378464401,0.088677734,0.192500845,0.008379349,2601.546962,831993.6367,2498.197642,175628.1218,5369.916786,2708738.793,0.133547454,0.007277379,1.57e-06,0.018989805,4.47e-05,0.013714707,92.28515625,-57.3466301,8862.072266,83.8425827,1072.09436,-7.773190975,537.2903442,17.76085663,336.6822205,-7.716403961,202.2643433,10.9469347,229.432373,-7.222306252,140.919754,2.408668756,144.1701965,-6.55926609,129.7502899,6.013715267,100.2323303,-12.09861374,87.16359711,5.783195972,66.12724304,-6.979835033,63.24639893,2.734489202,55.44852448,-7.204907894,54.53546906,1.658251047,46.09874344,-6.365225792,57.15016174,5.833874226,59.91847229,-3.94314003,64.04676056,5.222793102,61.53421021
Bad.m4a,5430272,0.473042607,0.081354707,0.221755594,0.006348471,2765.480264,379167.7811,2701.873546,116295.5431,6017.169096,1462871.337,0.120875135,0.002987409,3.39e-06,0.02096655,3.86e-05,0.017902181,112.3471467,-26.81819534,5175.520508,75.30993652,477.7990112,-0.164172053,635.5994873,30.31396675,164.0387573,2.028287172,154.4926758,14.79451847,106.9068756,-0.487385929,89.60827637,17.75860786,69.34674835,-2.791560173,65.29634094,12.76461887,54.27222443,-6.400763512,52.57829285,8.675298691,37.65956116,-1.779148698,44.4058342,9.500106812,46.74219131,-1.450423956,45.3975029,11.28689957,52.04105759,-1.421040297,55.37905502,8.242483139,35.65032196,-4.841419697,32.97984314,5.495111942,32.12624359
Bam Bam.m4a,4333056,0.316734552,0.095620058,0.196712047,0.009834104,1611.655506,463172.3525,1695.500698,302891.8163,3095.644726,2487576.309,0.08192689,0.002040202,4.04e-06,0.029540474,4.5e-05,0.009765031,83.35433468,-137.3495941,7990.708008,130.443512,1408.34668,-36.87282944,1125.169434,17.94810677,404.7830505,1.698991895,286.3345947,-0.595570982,205.415863,13.26256561,218.3761139,3.590181828,104.1508026,-8.916008949,115.0373459,11.47925663,103.9628372,-7.852566719,71.3627243,2.600652456,57.13978577,0.162128001,76.73207092,-4.70654726,94.23023987,-5.749797821,59.98995972,0.411892205,93.1721344,-8.226250648,147.1033936,0.713452995,170.1041565,-3.029833794,173.9491272,2.618889809,140.6242981
Beat It.m4a,5698048,0.401588708,0.086840928,0.134708285,0.004519942,2737.971575,608427.0632,2700.692692,131745.1093,6021.647074,1837402.101,0.12890217,0.004587427,1.23e-05,0.009751404,-8.59e-06,0.006803749,135.9991776,-98.13754272,11810.8877,78.01016235,769.3120117,3.521666527,427.1883545,24.83027077,224.3567657,0.319512427,115.9537811,13.14981461,92.13158417,-4.946069241,72.67489624,10.69185448,64.88922119,-5.563280106,69.63484192,5.81182909,62.58358002,-7.42318821,62.60398865,4.353182793,54.96960831,-8.491734505,52.86548615,4.827745438,52.18419647,-5.350589275,57.26882935,5.562753201,55.54314804,-5.239880562,57.67248917,2.593732834,44.13162994,-5.704747677,48.37597656,1.078968167,60.53154755
Before You Go.m4a,2826752,0.340808153,0.087041229,0.228920251,0.010757033,1971.390343,419325.3817,1913.234745,231214.5859,3698.031272,2017210.225,0.114156036,0.002387513,-2.8e-05,0.040574048,-0.000121705,0.009197431,83.35433468,-76.11870575,7507.91748,112.0548859,1256.648682,-35.91400909,713.3191528,15.87050915,268.0475769,-3.057008505,301.0343323,3.623274565,217.3296814,-10.26778221,131.5336609,5.624797344,100.3473816,-8.473031044,210.4173279,9.895793915,109.2751389,-7.326227665,87.10821533,2.972338676,95.1526947,1.953323483,85.32836914,-1.114205599,84.59007263,-7.326142788,92.63551331,5.593056202,59.18429565,-8.674037933,110.5793381,2.735388994,87.73155975,-2.587930679,79.35364532,-0.57913816,72.32010651
Billy Jean.m4a,6126080,0.515995622,0.077154703,0.068036497,0.002070098,2964.77357,1423361.003,2670.816869,394350.1811,6009.201498,4595956.291,0.154057631,0.007911159,-9.34e-07,0.001169683,-5.88e-06,0.003637814,117.4538352,-197.6382294,15855.65723,63.5271225,1479.037231,15.35473824,1162.075195,37.65333176,344.0597229,7.071431637,296.5961609,23.10444641,164.545166,0.603972673,149.4338989,18.63271904,123.2426758,-2.737822294,92.82105255,12.42717171,67.76733398,-7.137001514,70.11437988,2.138786316,48.88027573,-5.171006203,48.341362,4.240727425,39.3344841,-6.894581318,40.86361694,2.434463263,45.21659851,-6.65367651,35.05015182,2.222728491,38.85270309,-6.553332806,36.77521133,3.523799419,47.12395477
Bodak Yellow.m4a,4938752,0.382891685,0.09901648,0.22260794,0.016985113,3173.928776,1246944.504,2736.855671,266691.5358,6366.304785,3546615.576,0.139770622,0.009948683,-5.65e-06,0.040532377,6.99e-05,0.01517566,123.046875,-93.78131104,8199.191406,49.71549988,1288.309326,-10.32071114,1157.826294,9.03433609,561.3548584,-3.029910088,521.5273438,6.056954861,440.8757019,-11.91903496,381.1877136,-1.601181865,314.7937927,-6.943946362,204.9253387,2.552749157,198.2180023,-7.782260895,153.38974,8.524637222,152.5224304,-10.09901524,137.1743927,5.610592842,123.672966,-9.314909935,123.7920837,3.276439905,97.55202484,-5.094637871,92.61140442,0.726676583,120.6903305,-10.06760216,132.2561035,9.963999748,164.2125397
